"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2021","AQS","380150003","1","16.3","ppb","15","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/02/2021","AQS","380150003","1","13.4","ppb","12","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/03/2021","AQS","380150003","1","11.9","ppb","10","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/04/2021","AQS","380150003","1","25.9","ppb","24","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/05/2021","AQS","380150003","1","18.3","ppb","17","BISMARCK RESIDENTIAL","21","88.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/06/2021","AQS","380150003","1","10.4","ppb","9","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/07/2021","AQS","380150003","1","7.9","ppb","7","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/08/2021","AQS","380150003","1","12.8","ppb","11","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/09/2021","AQS","380150003","1","12","ppb","11","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/10/2021","AQS","380150003","1","11.4","ppb","10","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/11/2021","AQS","380150003","1","18.1","ppb","17","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/12/2021","AQS","380150003","1","16.4","ppb","15","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/13/2021","AQS","380150003","1","13.7","ppb","12","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/14/2021","AQS","380150003","1","2.6","ppb","2","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/15/2021","AQS","380150003","1","4.9","ppb","4","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/16/2021","AQS","380150003","1","11.1","ppb","10","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/17/2021","AQS","380150003","1","15.2","ppb","14","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/18/2021","AQS","380150003","1","16","ppb","15","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/19/2021","AQS","380150003","1","7","ppb","7","BISMARCK RESIDENTIAL","21","88.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/20/2021","AQS","380150003","1","5.8","ppb","5","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/21/2021","AQS","380150003","1","8.8","ppb","8","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/22/2021","AQS","380150003","1","16.3","ppb","15","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/23/2021","AQS","380150003","1","14.5","ppb","13","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/24/2021","AQS","380150003","1","7.3","ppb","7","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/25/2021","AQS","380150003","1","5.4","ppb","5","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/26/2021","AQS","380150003","1","4.6","ppb","4","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/27/2021","AQS","380150003","1","4.4","ppb","4","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/28/2021","AQS","380150003","1","8","ppb","8","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/29/2021","AQS","380150003","1","6.2","ppb","6","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/30/2021","AQS","380150003","1","9","ppb","8","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"01/31/2021","AQS","380150003","1","16.1","ppb","15","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"02/01/2021","AQS","380150003","1","5.4","ppb","5","BISMARCK RESIDENTIAL","21","88.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"02/02/2021","AQS","380150003","1","4.2","ppb","4","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"02/03/2021","AQS","380150003","1","5.6","ppb","5","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"02/04/2021","AQS","380150003","1","9.9","ppb","8","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"02/05/2021","AQS","380150003","1","7","ppb","7","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"02/06/2021","AQS","380150003","1","9.4","ppb","8","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
"02/07/2021","AQS","380150003","1","34.7","ppb","32","BISMARCK RESIDENTIAL","24","100.0000","42602","Nitrogen dioxide (NO2)","074","13900","Bismarck, ND","38","North Dakota","015","Burleigh","46.8254250009412","-100.76821"
